Num,Reaction,Rate
297,C2H5 + C2H2(v2) => C2H6 + C2H,4.50d-13 * exp(-98.11/(R*Tgas))
298,C2H5 + C2H2(v13) => C2H6 + C2H,4.50d-13 * exp(-98.11/(R*Tgas))
299,C2H5 + C3H8 => C2H6 + C3H7,1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
300,C2H5 + C3H8(v1) => C2H6 + C3H7,1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
301,C2H5 + C3H8(v2) => C2H6 + C3H7,1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
302,C2H5 + C3H7 => C3H8 + C2H4,1.91d-12
303,C2H5 + C3H7 => C3H6 + C2H6,2.41d-12
304,C2H5 + C3H6 => C3H5 + C2H6,1.69d-15 * (Tgas/298.)**3.50 * exp(-35.34/(R*Tgas))
305,C2H5 + C3H6(v) => C3H5 + C2H6,1.69d-15 * (Tgas/298.)**3.50 * exp(-35.34/(R*Tgas))
306,C2H5 + H2 => C2H6 + H,4.12d-15 * (Tgas/298.)**3.60 * exp(-27.77/(R*Tgas))
307,C2H5 + H => CH3 + CH3,5.99d-11
308,C2H5 + H => C2H4 + H2,3.32d-12
309,C2H5 + H => C2H6,8.65d-7 * Tgas**-0.99 * exp(-795.17/Tgas)
310,C2H5 => C2H4 + H,4.08d12 * (Tgas/298.)**1.04 * exp(-154./(R*Tgas))
311,C2H5 + C2H5 => C4H9H,9.55d-12
312,C2H5 + C2H3 => C2H4 + C2H4,4.42d-11
313,C2H4 + H => C2H3 + H2,9.00d-10 * exp(-62.36/(R*Tgas))
314,C2H4(v1) + H => C2H3 + H2,9.00d-10 * exp(-62.36/(R*Tgas))
315,C2H4(v2) + H => C2H3 + H2,9.00d-10 * exp(-62.36/(R*Tgas))
316,C2H4 + H => C2H5,9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
317,C2H4(v1) + H => C2H5,9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
318,C2H4(v2) + H => C2H5,9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
319,C2H4 + H2 => C2H5 + H,9.55d-12
320,C2H4 => C2H3 + H,4.30d-7 * exp(-404./(R*Tgas))
321,C2H4(v1) => C2H3 + H,4.30d-7 * exp(-404./(R*Tgas))
322,C2H4(v2) => C2H3 + H,4.30d-7 * exp(-404./(R*Tgas))
323,C2H4 + C2H2 => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
324,C2H4(v1) + C2H2 => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
325,C2H4(v2) + C2H2 => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
326,C2H4 + C2H2(v5) => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
327,C2H4 + C2H2(v2) => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
328,C2H4 + C2H2(v13) => C2H3 + C2H3,4.00d-11 * exp(-286./(R*Tgas))
329,C2H4 + C3H6 => C2H3 + C3H7,1.00d-10 * exp(-316./(R*Tgas))
330,C2H4(v1) + C3H6 => C2H3 + C3H7,1.00d-10 * exp(-316./(R*Tgas))
331,C2H4(v2) + C3H6 => C2H3 + C3H7,1.00d-10 * exp(-316./(R*Tgas))
332,C2H4 + C3H6(v) => C2H3 + C3H7,1.00d-10 * exp(-316./(R*Tgas))
333,C2H4 + C2H4 => C2H5 + C2H3,8.00d-10 * exp(-299./(R*Tgas))
334,C2H4(v1) + C2H4(v1) => C2H5 + C2H3,8.00d-10 * exp(-299./(R*Tgas))
335,C2H4(v2) + C2H4(v2) => C2H5 + C2H3,8.00d-10 * exp(-299./(R*Tgas))
336,C2H4 + CH3 => C3H7,4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
337,C2H4(v1) + CH3 => C3H7,4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
338,C2H4(v2) + CH3 => C3H7,4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas)
339,C2H4 => C2H2 + H2,8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
340,C2H4(v1) => C2H2 + H2,8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
341,C2H4(v2) => C2H2 + H2,8.00d12*Tgas**0.44*exp(-44675.39/Tgas)
342,C2H4 + H2 => C2H6,4.75d-16*exp(-180./(R*Tgas))
343,C2H4(v1) + H2 => C2H6,4.75d-16*exp(-180./(R*Tgas))
344,C2H4(v2) + H2 => C2H6,4.75d-16*exp(-180./(R*Tgas))
345,C2H4 + CH2 => C3H6,5.30d-12*exp(-2660./Tgas)
346,C2H4(v1) + CH2 => C3H6,5.30d-12*exp(-2660./Tgas)
347,C2H4(v2) + CH2 => C3H6,5.30d-12*exp(-2660./Tgas)
