,0
C2H4(v1) + CH2 => C3H6,25474972009263.25
e + C2H2(v13) => e + CH + CH,25333366035599.24
CH3 + H^+ => H + CH3^+,24902000000000.0
CH4(v13) + H^+ => H + CH4^+,24566000000000.0
C2H4(v2) + C2H2^+ => C2H2 + C2H4^+,19067648527254.363
C2H6(v24) + C2H2^+ => C2H4 + C2H4^+,16414052672962.0
C2H6(v13) + C2H2^+ => C2H4 + C2H4^+,15504504263921.0
e + C2H4(v1) => e + e + CH + CH3^+,13788000000000.0
e + C2H4(v1) => e + e + CH2 + CH2^+,12650000000000.0
C2H3 + C3H7 => C3H6 + C2H4,11593505668800.0
C2H3 + C3H7 => C3H8 + C2H2,11593505668800.0
e + C3H6 => e + e + C3H6^+,10593004026518.254
e + e + C3H6^+ => e + C3H6,10534064407686.943
C2H2 + C2H6^+ => C2H3 + C2H5^+,9674120683112.062
C2H4(v2) + H => C2H3 + H2,9116346334423.0
C2H6(v24) + C2H2^+ => C2H3 + C2H5^+,8670610082155.0
C2H6(v13) + C2H2^+ => C2H3 + C2H5^+,8189935720569.0
C2H4(v2) + CH2 => C3H6,7284690092947.908
CH3 + C2H5 => C2H6 + CH2,6660570185000.0
e + C3H8(v1) => e + C3H6 + H2,5217966769970.6875
e + C3H8(v2) => e + C3H6 + H2,4740892349365.522
e + C2H4(v2) => e + e + CH + CH3^+,4002200000000.0
e + C2H4(v2) => e + e + CH2 + CH2^+,3671900000000.0
e + C2H2(v5) => e + e + CH + CH^+,3472900000000.0
CH2 + H^+ => H + CH2^+,2933700000000.0
CH2 + H^+ => H2 + CH^+,2933700000000.0
CH4(v13) + C2H5 => C2H6 + CH3,2924965259400.0
CH4(v24) + C2H5 => C2H6 + CH3,2773173027400.0
C2H5 + H^+ => H2 + H + C2H3^+,2367000000000.0
C4H9H + CH3 => CH4 + C4H9,2212035885500.0
C2H4 + H^+ => H2 + C2H3^+,2114600000000.0
CH2 + C3H7 => C2H4 + C2H5,1515211158493.241
CH2 + C3H7 => C3H6 + CH3,1515211158493.241
C2H2(v5) + C2H6^+ => C2H3 + C2H5^+,1496077736931.9478
C2H5 + H^+ => H2 + C2H4^+,1276300000000.0
e + C2H2(v2) => e + e + CH + CH^+,1251900000000.0
e + C2H6(v24) => e + e + CH4 + CH2^+,1219100000000.0
e + C2H6(v13) => e + e + CH4 + CH2^+,1151700000000.0
C2H6 + H^+ => H2 + H2 + C2H3^+,1070100000000.0
e + C2H2(v13) => e + e + CH + CH^+,769000000000.0
C2H6(v24) + CH2 => C2H5 + CH3,744982754006.8682
C2H4 + H^+ => H2 + H + C2H2^+,704860000000.0
C2H4 + H^+ => H + C2H4^+,704860000000.0
C2H3 + H^+ => H2 + C2H2^+,700370000000.0
C2H3 + H^+ => H + C2H3^+,700370000000.0
C2H6(v13) + CH2 => C2H5 + CH3,699450602985.9111
e + C2H4(v1) => e + e + CH3 + CH^+,677460000000.0
C2H2(v2) + C2H6^+ => C2H3 + C2H5^+,557753406046.8313
C2H6 + H^+ => H2 + H + C2H4^+,535050000000.0
C2H6 + H^+ => H2 + C2H5^+,496830000000.0
e + C3H7 => e + C3H6 + H,458386314907.6566
C2H2(v13) + C2H6^+ => C2H3 + C2H5^+,367163917518.6977
e + C2H4(v2) => e + e + CH3 + CH^+,196650000000.0
e + C3H6 => e + e + C2H2 + CH4^+,129610000046.38408
C2H6(v24) + C2H3 => C2H5 + C2H4,122730425370.0
C2H6(v13) + C2H3 => C2H5 + C2H4,120516002420.0
C2H4(v1) + C2H6^+ => C2H6 + C2H4^+,89685864824.06387
e + C3H6(v) => e + C2H2 + CH4,84911566303.098
e + C3H7 => e + e + C3H7^+,82106217944.74962
e + e + C3H7^+ => e + C3H7,81510024943.69098
e + C3H8 => e + C3H7 + H,66144505924.11324
C2H2 + H^+ => H + C2H2^+,57900000000.0
C2H4(v2) + C2H6^+ => C2H6 + C2H4^+,25362065103.916023
CH4 + C3H7 => C3H8 + CH3,12878150468.0
CH + H^+ => H + CH^+,12002000000.0
e + C3H7 => e + e + H + C3H6^+,11869147543.202682
e + C3H8(v1) => e + C3H7 + H,8514168260.524267
e + C3H8(v2) => e + C3H7 + H,7772323748.565572
e + C3H6(v) => e + e + C3H6^+,6960904524.132767
C3H7 + H2 => C3H8 + H,3613065240.8
C2H6 + H => CH4 + CH3,2777104397.25
C3H8 + CH2 => C4H9H,2694838276.8480005
C2H5 => C2H4 + H,2184205169.4
C2H4(v1) + H^+ => H2 + C2H3^+,1445400000.0
C2H3 => C2H2 + H,1141476185.0
C2H5 + C2H4 => C2H6 + C2H3,805534378.4197421
C3H7 + C3H7 => C3H6 + C3H8,738405350.6456
