exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
18,20,0.25,5.0,1.2,0.95,1.8499999999999999,1.9466594000000002,0.698956547368421,3.26863,1.123050810810811,1.1
18,20,0.25,6.0,1.2,0.95,1.8499999999999999,1.7137554500000005,0.9931510105263154,3.040336,1.2711334054054055,1.2
18,20,0.25,8.0,1.2,0.95,1.8499999999999999,1.6860381000000002,1.0281623999999998,2.179068,1.82979372972973,1.2
19,30,0.25,0.0,1.0,1.0,3.0,3.0,0.0,6.0,0.0,0.1
19,30,0.25,1.0,1.1,1.0,2.9,2.7732437500000002,-0.0505681250000003,4.932438,0.1980407586206895,1.2
19,30,0.25,2.0,1.1177644710578845,0.9880239520958084,2.8942115768463075,2.74389785,-0.06784403232323295,4.114,0.4842482758620688,1.6
19,30,0.25,3.0,1.1616161616161615,1.0101010101010102,2.8282828282828287,2.44958395,0.15297845749999991,3.477952,0.6929839999999999,1.8
19,30,0.25,4.0,1.1224489795918369,1.0204081632653061,2.8571428571428577,2.3340640500000003,0.3725295449999994,2.955232,0.9390159999999996,2.0
19,30,0.25,5.0,1.1224489795918369,1.0204081632653061,2.8571428571428577,2.1125697000000003,0.6161733299999992,2.432782,1.144264214285714,2.1
19,30,0.25,7.0,0.9603340292275574,1.1482254697286014,2.8914405010438418,1.918130095,1.0084730114545455,1.4222838,1.6027071855595667,2.0
20,20,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
20,20,0.25,1.0,1.05,1.0,1.95,0.9446092199999999,0.008160319000000027,1.7820799999999999,0.0660594871794872,0.3
20,20,0.25,3.0,1.1,1.0,1.9,0.8690236699999999,0.044073962999999994,1.3185422,0.2892650421052631,0.6
20,20,0.25,4.0,1.1,1.0,1.9,0.83160055,0.08523939499999988,1.061535,0.4380586842105264,0.6
20,20,0.25,5.0,1.1,1.0,1.9,0.79165867,0.12917546299999993,0.8289677999999999,0.5727028526315789,0.7
20,20,0.25,6.0,1.07,1.0,1.93,0.749528205,0.19800482065000002,0.619775,0.6926636010362694,0.7
20,20,0.25,7.0,1.0303030303030305,1.0101010101010102,1.9595959595959596,0.6913381249999999,0.2848351125,0.44457499999999994,0.7868729381443299,0.7
