exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
18,23,20,0.25,1,2,0,,,0.94828547,-0.005637835,-0.00598971,1.7402472,0.004566108,0.015707313,1,1,2,,,,,
18,20.6,20,0.25,1,2,2,2.679323226,19.28347658,0.839428905,0.018852555,-0.00384429,1.2666312,0.00882,0.12962624,1.1,0.95,1.99,,,,,
18,20.9,20,0.25,1,2,4,1.438265703,80.58427621,0.745995705,0.12373867,-0.00136348,0.7437542,0.013330459,0.32888416,1.09,0.94,1.99,,,,,
18,22.5,20,0.25,1,2,9.0,0.635727636,218.9783432,0.02503786,0.747448205,0.027613645,0.020176442,0.023438282,0.813776,0.84,1.05,2.2,,,,,
19,26.0,10,0.25,1,2,0.0,,,1.034699065,-0.005930885,-0.005647625,1.8581832,0.003888067,0.014681507,1,1,2,,,,,
19,20.8,10,0.25,1,2,2.0,2.562344256,3.340927371,0.922139375,-0.001948585,-0.00347762,1.549655,0.008526361,0.060924773,1.14,0.95,1.91,,,,,
19,19.7,10,0.25,1,2,4,2.196900922,6.073160434,0.857924845,0.005983875,-0.00162763,1.242855,0.011596847,0.12745784,1.21,0.93,1.86,,,,,
19,20.7,10,0.25,1,2,20,0.565209479,24.84268836,0.5468925,0.33100742,0.02430716,0.2974982,0.040409082,0.53985856,1.39,0.75,1.82,,,,,
19,19.8,10,0.25,1,2,22,0.543232516,31.10037835,0.51838328,0.384663475,0.030093345,0.2725992,0.043871162,0.56104544,1.38,0.74,1.84,,,,,
19,19.4,10,0.25,1,2,24,0.53708432,25.18359956,0.48404625,0.433815,0.037166475,0.250955,0.047517272,0.5766,1.37,0.73,1.86,,,,,
19,19.3,10,0.25,1,2,26,0.55665177,12.48828871,0.44923883,0.474192655,0.044261525,0.2330982,0.0511238,0.586384,1.34,0.7,1.9,,,,,
20,26.3,30,0.25,3,6,0,,,2.89305685,0.00313871,-0.005714995,5.268312,0.00921527,0.039988329,1,1,6,,,,,
20,26,30,0.25,3,6,1,1.913116321,122.1234491,2.7389094,0.07848831,-0.005136265,4.136552,0.013755105,0.11918566,1.08,0.99,5.85,,,,,
20,26.8,30,0.25,3,6,3,1.348034309,321.8752066,2.3721416,0.457045705,-0.001420535,2.530328,0.020610522,0.35790656,1.08,1.03,5.8,,,,,
20,27.4,30,0.25,3,6,4,1.219474699,466.8973751,2.33523985,0.71304703,0.00193518,1.922648,0.022295,0.4837215,0.98,1.06,5.8,,,,,
20,27.6,30,0.25,3,6,5,1.070469176,614.9034383,2.0386996,0.983713435,0.00603521,1.397192,0.0233838,0.60758214,0.88,1.15,5.85,,,,,
20,27,30,0.25,3,6,6,0.889761471,886.8001038,1.701408,1.317104375,0.01159205,0.94073642,0.024037848,0.71950934,0.73,1.27,5.8,,,,,
20,26.4,30,0.25,3,6,7,0.785846477,874.25692,1.21802365,1.58742172,0.018365935,0.6335945,0.0244742,0.81214694,0.57,1.39,5.9,,,,,
20,25.7,30,0.25,3,6,8,0.614033417,1572.360316,0.5831327,2.111033125,0.024943755,0.2641752,0.024637898,0.8826135,0.38,1.5,6,,,,,
21,24.8,10,0.25,3,6,0,,,6.32811095,-0.00496327,-0.00462442,5.34375,0.004161752,0.022079002,1,1,2,,,,,
21,20.8,10,0.25,3,6,2,1.291429355,14.70455888,5.19167385,0.014436675,0.003469915,3.911918,0.029895242,0.20785494,1.22,0.9,1.85,,,,,
21,20.0,10,0.25,3,6,4,0.78053708,40.68335839,4.71650545,0.073732885,0.00823463,3.018158,0.044543018,0.4109215,1.32,0.85,1.75,,,,,
21,24.5,10,0.25,3,6,19,0.587623859,35.35398182,3.17478125,0.858807345,0.129182345,1.39095,0.1766072,1.149016,1.79,0.45,1.57,,,,,
21,21.5,10,0.25,3,6,20,0.585150142,29.46667602,3.0732379,0.89878828,0.138149335,1.316358,0.190295,1.179806,1.79,0.45,1.57,,,,,
22,25.4,20,0.25,3,6,0,,,3.42791875,-0.00532275,-0.00562907,5.352152,0.008131473,0.031037897,1,1,2,,,,,
22,22.70,20,0.25,3,6,1,2.300281695,31.26538462,3.0539203,0.013905965,-0.00399127,4.317102,0.010268609,0.186,1.1,0.99,1.92,,,,,
22,22.00,20,0.25,3,6,4,1.357304276,91.11140612,2.45516035,0.190164355,0.00287158,2.960622,0.018984042,0.6740415,1.2,0.95,1.85,,,,,
22,22.00,20,0.25,3,6,5,1.086874073,197.4425187,2.37457815,0.317061365,0.00767982,2.620782,0.021262122,0.86814086,1.2,0.95,1.85,,,,,
22,22.10,20,0.25,3,6,6,1.025685479,167.9212648,2.1416742,0.42498496,0.01368134,2.392488,0.023274848,1.052504,1.2,0.95,1.85,,,,,
22,22.20,20,0.25,3,6,8,0.93312266,189.1084665,2.11395685,0.66806633,0.02915261,1.53122,0.027261962,1.390544,1.2,0.95,1.85,,,,,
23,23.10,30,0.25,3,6,0,,,3.08501975,-0.004104945,-0.005372285,5.8982,0.008222171,0.026628554,1,1,3,,,,,
23,22.40,30,0.25,3,6,1,2.754508263,64.02726713,2.8582635,0.03498808,-0.00423065,4.830638,0.009926237,0.14345976,1.1,1,2.9,,,,,
