,Reaction,Value,Number
186,C2H4 + CH3 => C3H7,4.23d-18 * Tgas**1.60 * exp(-2868.65/Tgas),47
187,C2H4 => C2H2 + H2,8.00d12*Tgas**0.44*exp(-44675.39/Tgas),47
188,C2H4 + C2H5 => C4H9,3.00d-14*(Tgas/298.)**2.48*exp(-25.65/(R*Tgas)),86
189,C2H4 + H2 => C2H6,4.75d-16*exp(-180./(R*Tgas)),87
190,C2H4 + CH2 => C3H6,5.30d-12*exp(-2660./Tgas),54
191,C2H4 + C4H9 => C3H6 + C3H7,5.00d-14*exp(-25.53/(R*Tgas)),59
192,C2H3 + C2H3 => C2H4 + C2H2,3.50d-11,64
193,C2H3 + C3H8 => C2H4 + C3H7,1.46d-13*(Tgas/298.)**3.30*exp(-43.90/(R*Tgas)),56
194,C2H3 + C3H7 => C3H8 + C2H2,2.01d-12,56
195,C2H3 + C3H7 => C3H6 + C2H4,2.01d-12,56
196,C2H3 + C3H6 => C3H5 + C2H4,1.68d-15*(Tgas/298.)**3.50*exp(-19.62/(R*Tgas)),57
197,C2H3 + C3H5 => C3H6 + C2H2,8.00d-12,57
198,C2H3 + H2 => C2H4 + H,1.61d-13*(Tgas/298.)**2.63*exp(-35.75/(R*Tgas)),55
199,C2H3 + H => C2H2 + H2,1.60d-10,55
200,C2H3 + H => C2H4,1.01d-11*Tgas**0.27*exp(-140.92/Tgas),47
201,C2H3 => C2H2 + H,2.00d14*exp(-20000./Tgas),54
202,C2H3 + C4H9 => C2H2 + C4H9H,1.40d-12,59
203,C2H2 + H => C2H3,9.30d-12*exp(-1207.85/Tgas),47
204,C2H2 + H2 => C2H4,5.00d-13*exp(-163./(R*Tgas)),55
205,C2H2 + H2 => C2H3 + H,4.00d-12*exp(-272./(R*Tgas)),55
206,C2H2 + CH3 => C3H5,1.58d-5*(Tgas/298.)**-8.58*exp(-84.81/(R*Tgas)),89
207,C2H2 + C4H9 => C3H6 + C3H5,1.20d-12*exp(-37.66/(R*Tgas)),59
208,C3H8 + C3H5 => C3H6 + C3H7,5.71d-14*(Tgas/298.)**3.30*exp(-83.06/(R*Tgas)),57
209,C3H8 + H => C3H7 + H2,2.19d-180*Tgas**2.54*exp(-3400.10/Tgas),47
210,C3H8 => C2H5 + CH3,1.10d17*exp(-42470./Tgas),61
211,C3H8 + C4H9 => C4H9H + C3H7,1.61d-15*(Tgas/298.)**3.50*exp(-27.77/(R*Tgas)),59
212,C3H8 + CH2 => C4H9H,4.42d-12,94
213,C3H7 + C3H7 => C3H6 + C3H8,2.81d-12,56
214,C3H7 + C3H6 => C3H5 + C3H8,1.69d-15*(Tgas/298.)**3.50*exp(-27.77/(R*Tgas)),57
215,C3H7 + C3H5 => C3H6 + C3H6,2.41d-12*exp(-0.55/(R*Tgas)),57
216,C3H7 + H2 => C3H8 + H,3.19d-14*(Tgas/298.)**2.84*exp(-38.25/(R*Tgas)),56
217,C3H7 + H => C3H6 + H2,3.01d-12,56
218,C3H7 + H => C3H8,6.00d-11,47
219,C3H7 + H => CH3 + C2H5,6.74d-18*Tgas**2.19*exp(-447.91/Tgas),47
220,C3H7 => C3H6 + H,1.25d17*exp(-237./(R*Tgas)),97
221,C3H7 => C2H4 + CH3,16.0*(Tgas/298.)**-(10.00)*exp(-150./(R*Tgas)),98
222,C3H7 + C4H9 => C4H9H + C3H6,2.41d-12,59
223,C3H6 + C2H2 => C2H3 + C3H5,6.71d-11*exp(-196./(R*Tgas)),57
224,C3H6 + C3H6 => C3H7 + C3H5,4.20d-10*exp(-231./(R*Tgas)),57
225,C3H6 => C3H5 + H,2.50d15*exp(-363./(R*Tgas)),57
226,C3H6 + H => C3H5 + H2,4.40d-13*(Tgas/298.)**2.50*exp(-10.39/(R*Tgas)),57
227,C3H6 + H => C3H7,1.29d-11*(Tgas/298.)**0.51*exp(-5.15/(R*Tgas)),86
228,C3H6 => CH3 + C2H3,1.28d13*(Tgas/298.)**(-15.70)*exp(-502./(R*Tgas)),99
229,C3H6 + CH3 => C4H9,1.27d-14*(Tgas/298.)**2.67*exp(-28.66/(R*Tgas)),86
230,C3H6 + C4H9 => C4H9H + C3H5,1.69d-15*(Tgas/298.)**3.50*exp(-27.77/(R*Tgas)),57
231,C3H5 + H2 => C3H6 + H,1.39d-13*(Tgas/298.)**2.38*exp(-79.49/(R*Tgas)),57
232,C3H5 + H => C3H6,78.80*(Tgas/298.)**(-11.76)*exp(-98.53/(R*Tgas)),100
233,C3H5 => C2H2 + CH3,1.26d13*exp(-140./(R*Tgas)),95
234,C4H9 => C2H4 + C2H5,1.07d2*(Tgas/298.)**(-11.90)*exp(-135./(R*Tgas)),101
235,C4H9 + CH2 => C2H4 + C3H7,3.01d-11,59
236,C4H9 => C3H6 + CH3,7.71d13*(Tgas/298.)**0.77*exp(-128./(R*Tgas)),86
237,C4H9 + H2 => C4H9H + H,2.52d-14*(Tgas/298.)**2.72*exp(-40.99/(R*Tgas)),59
238,C4H9H + CH3 => CH4 + C4H9,8.32d-13*exp(-56.87/(R*Tgas)),102
239,C4H9H => C3H7 + CH3,8.87d-7*exp(-180./(R*Tgas)),103
240,C4H9H => C2H5 + C2H5,7.84d-6*exp(-207./(R*Tgas)),103
241,C4H9H + H => C4H9 + H2,2.19d-10*exp(-39.24/(R*Tgas)),104
242,C4H9H + CH2 => C4H9 + CH3,1.81d-12*exp(-20.54/(R*Tgas)),59
243,C4H9H + C2H3 => C2H4 + C4H9,2.42d-15*(Tgas/298.)**3.65*exp(-21.62/(R*Tgas)),59
244,C4H9H + C3H7 => C3H8 + C4H9,2.47d-15*(Tgas/298.)**3.65*exp(-38.25/(R*Tgas)),59
245,C4H9H + C2H => C2H2 + C4H9,1.00d-11,59
246,C4H9H + C2H5 => C2H6 + C4H9,2.47d-15*(Tgas/298.)**3.65*exp(-38.25/(R*Tgas)),59
247,C4H9H + C3H5 => C3H6 + C4H9,8.63d-14*(Tgas/298.)**3.30*exp(-83.06/(R*Tgas)),57
248,C4H9H + CH2 => C5H12,9.61d-13,94
249,C5H12 => CH3 + C4H9,3.16d16*exp(-331./(R*Tgas)),105
250,H2 => H + H,1.88d-8*(Tgas/298.)**(-1.10)*exp(-437./(R*Tgas)),106
251,H + H => H2,5.52d-30*Tgas**(-1.00),48
