exp,T,V,E,CF_LA,CF_K,CA_LA,CB_K,dNLA,dNK,dVF,dVA,dVB
2,23.2875,10,0.25,0.352537707,0.627050124,0.126960009,0.321459046,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.351036527,0.623885057,0.129181902,0.325114432,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.349533103,0.620715259,0.131408054,0.328761964,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.34802743,0.61754072,0.133638477,0.332401667,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.346519504,0.614361428,0.135873182,0.336033568,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.345009318,0.611177375,0.138112182,0.33965769,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.343496869,0.607988547,0.14035549,0.343274059,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.34198215,0.604794936,0.142603118,0.3468827,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.340465158,0.601596529,0.144855078,0.350483638,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.338945885,0.598393317,0.147111384,0.354076897,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.337424329,0.595185288,0.149372047,0.357662501,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.335900482,0.591972432,0.15163708,0.361240475,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.334374341,0.588754738,0.153906496,0.364810844,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.3328459,0.585532194,0.156180308,0.368373632,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.331315154,0.58230479,0.158458528,0.371928862,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.329782097,0.579072514,0.16074117,0.375476559,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.328246725,0.575835357,0.163028245,0.379016747,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.326709031,0.572593306,0.165319768,0.382549449,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.325169012,0.56934635,0.167615751,0.38607469,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.323626661,0.566094479,0.169916207,0.389592492,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.322081973,0.562837681,0.172221149,0.39310288,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.320534944,0.559575945,0.17453059,0.396605877,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.318985566,0.55630926,0.176844544,0.400101505,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.317433836,0.553037614,0.179163024,0.403589789,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.315879748,0.549760997,0.181486043,0.407070752,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.314323297,0.546479396,0.183813614,0.410544416,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.312764476,0.543192801,0.186145751,0.414010804,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.311203282,0.5399012,0.188482467,0.41746994,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.309639707,0.536604581,0.190823776,0.420921845,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.308073747,0.533302934,0.193169691,0.424366544,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.306505397,0.529996246,0.195520226,0.427804057,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.304934651,0.526684506,0.197875395,0.431234408,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.303361503,0.523367703,0.200235211,0.434657619,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.301785948,0.520045824,0.202599688,0.438073713,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.30020798,0.516718859,0.20496884,0.441482711,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.298627594,0.513386796,0.20734268,0.444884635,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.297044784,0.510049622,0.209721224,0.448279508,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.295459545,0.506707326,0.212104484,0.451667351,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.293871871,0.503359896,0.214492474,0.455048186,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.292281756,0.500007321,0.21688521,0.458422036,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.290689196,0.496649588,0.219282704,0.461788921,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.289094183,0.493286686,0.221684971,0.465148863,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.287496713,0.489918602,0.224092026,0.468501884,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.28589678,0.486545325,0.226503883,0.471848004,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.284294377,0.483166843,0.228920556,0.475187246,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.282689501,0.479783143,0.231342059,0.478519631,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.281082144,0.476394214,0.233768408,0.481845179,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.2794723,0.473000043,0.236199616,0.485163911,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.277859965,0.469600618,0.238635698,0.488475849,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.276245132,0.466195927,0.24107667,0.491781013,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.274627796,0.462785958,0.243522545,0.495079424,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.273007951,0.459370699,0.245973338,0.498371103,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.27138559,0.455950136,0.248429065,0.50165607,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
